Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Projected_Fantasy_Pts,Actual_Fantasy_Pts
35499-40199,SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,56.223285,73,12000,MIL@TOR,MIL,TOR,,,,,
35499-9646,SF,Kevin,Kevin Durant,Durant,45.054431,79,11000,GS@POR,GS,POR,O,Calf,,,
35499-14513,SF,Kawhi,Kawhi Leonard,Leonard,44.61147621,61,10500,MIL@TOR,TOR,MIL,,,,,
35499-9524,PG,Stephen,Stephen Curry,Curry,43.72285854,70,10300,GS@POR,GS,POR,,,,,
35499-20848,PG,Damian,Damian Lillard,Lillard,43.58518398,81,9400,GS@POR,POR,GS,,,,,
35499-15860,PF,Draymond,Draymond Green,Green,31.43484775,66,8900,GS@POR,GS,POR,,,,,
35499-19067,SG,CJ,CJ McCollum,McCollum,32.28428432,70,7900,GS@POR,POR,GS,,,,,
35499-14509,SG,Klay,Klay Thompson,Thompson,33.34683421,79,7700,GS@POR,GS,POR,,,,,
35499-9535,PG,Kyle,Kyle Lowry,Lowry,35.46212121,66,7500,MIL@TOR,TOR,MIL,,,,,
35499-60021,PF,Pascal,Pascal Siakam,Siakam,32.57250061,80,7300,MIL@TOR,TOR,MIL,,,,,
35499-16261,SG,Khris,Khris Middleton,Middleton,33.00897373,78,7200,MIL@TOR,MIL,TOR,,,,,
35499-9664,SG,Andre,Andre Iguodala,Iguodala,19.10882389,68,6000,GS@POR,GS,POR,,,,,
35499-9621,C,Brook,Brook Lopez,Lopez,27.64444384,81,5800,MIL@TOR,MIL,TOR,,,,,
35499-9581,C,Marc,Marc Gasol,Gasol,34.20126459,79,5700,MIL@TOR,TOR,MIL,,,,,
35499-12355,PG,Eric,Eric Bledsoe,Bledsoe,33.21025516,78,5400,MIL@TOR,MIL,TOR,,,,,
35499-58576,PF,Kevon,Kevon Looney,Looney,17.88625031,80,5300,GS@POR,GS,POR,,,,,
35499-9703,PG,George,George Hill,Hill,16.11833293,60,5300,MIL@TOR,MIL,TOR,,,,,
35499-14516,C,Enes,Enes Kanter,Kanter,28.89253804,67,5200,GS@POR,POR,GS,,,,,
35499-14522,SF,Nikola,Nikola Mirotic,Mirotic,28.98478367,46,5200,MIL@TOR,MIL,TOR,,,,,
35499-16359,SG,Malcolm,Malcolm Brogdon,Brogdon,27.18906212,64,5100,MIL@TOR,MIL,TOR,,,,,
35499-15993,SG,Pat,Pat Connaughton,Connaughton,17.28852419,61,5000,MIL@TOR,MIL,TOR,,,,,
35499-16178,SF,Maurice,Maurice Harkless,Harkless,20.14666748,60,4900,GS@POR,POR,GS,,,,,
35499-15583,PG,Seth,Seth Curry,Curry,12.25675676,74,4800,GS@POR,POR,GS,,,,,
35499-15904,SF,Rodney,Rodney Hood,Hood,18.61666701,72,4700,GS@POR,POR,GS,,,,,
35499-9957,PF,Serge,Serge Ibaka,Ibaka,30.59053988,74,4600,MIL@TOR,TOR,MIL,,,,,
35499-80815,PF,Zach,Zach Collins,Collins,15.62727336,77,4500,GS@POR,POR,GS,,,,,
35499-9758,SG,Danny,Danny Green,Green,21.16750031,80,4400,MIL@TOR,TOR,MIL,,,,,
35499-40769,C,Jordan,Jordan Bell,Bell,10.7397057,68,4200,GS@POR,GS,POR,,,,,
35499-9598,PF,Ersan,Ersan Ilyasova,Ilyasova,14.94626902,67,4200,MIL@TOR,MIL,TOR,,,,,
35499-12342,PF,Al-Farouq,Al-Farouq Aminu,Aminu,23.19753086,81,4000,GS@POR,POR,GS,,,,,
35499-12359,SF,Evan,Evan Turner,Turner,18.50821884,73,3900,GS@POR,POR,GS,,,,,
35499-9643,PG,Shaun,Shaun Livingston,Livingston,11.02187538,64,3600,GS@POR,GS,POR,,,,,
35499-15669,PF,Meyers,Meyers Leonard,Leonard,12.65737665,61,3600,GS@POR,POR,GS,,,,,
35499-9962,PF,Jonas,Jonas Jerebko,Jerebko,14.25479419,73,3600,GS@POR,GS,POR,,,,,
35499-9601,C,Andrew,Andrew Bogut,Bogut,13.31818182,11,3500,GS@POR,GS,POR,,,,,
35499-18435,SF,Alfonzo,Alfonzo McKinnie,McKinnie,10.40138923,72,3500,GS@POR,GS,POR,,,,,
35499-55057,C,Jusuf,Jusuf Nurkic,Nurkic,37.86250136,72,3500,GS@POR,POR,GS,O,Lower leg,,,
35499-85523,PG,Jordan,Jordan Loyd,Loyd,3.899999936,12,3500,MIL@TOR,TOR,MIL,,,,,
35499-12443,PG,Jeremy,Jeremy Lin,Lin,17.89594661,74,3500,MIL@TOR,TOR,MIL,,,,,
35499-58658,SG,Patrick,Patrick McCaw,McCaw,8.037931245,29,3500,MIL@TOR,TOR,MIL,O,Personal,,,
35499-16293,SF,Norman,Norman Powell,Powell,15.17166646,60,3500,MIL@TOR,TOR,MIL,,,,,
35499-24247,PG,Fred,Fred VanVleet,VanVleet,23.60781288,64,3500,MIL@TOR,TOR,MIL,,,,,
35499-58295,PF,D.J.,D.J. Wilson,Wilson,14.71666718,48,3500,MIL@TOR,MIL,TOR,GTD,Ankle,,,
35499-66109,PF,Skal,Skal Labissiere,Labissiere,7.140909368,22,3500,GS@POR,POR,GS,,,,,
35499-101311,SF,Bonzie,Bonzie Colson,Colson,11.8125,8,3500,MIL@TOR,MIL,TOR,,,,,
35499-16063,PF,Eric,Eric Moreland,Moreland,7.6,5,3500,MIL@TOR,TOR,MIL,,,,,
35499-40262,SG,Sterling,Sterling Brown,Brown,13.30689634,58,3500,MIL@TOR,MIL,TOR,,,,,
35499-16071,PG,Tim,Tim Frazier,Frazier,15.4677962,59,3500,MIL@TOR,MIL,TOR,,,,,
35499-18376,SG,Damion,Damion Lee,Lee,8.821874619,32,3500,GS@POR,GS,POR,,,,,
35499-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,10.87037037,27,3500,MIL@TOR,MIL,TOR,O,Heel,,,
35499-12362,C,DeMarcus,DeMarcus Cousins,Cousins,37.49666748,30,3500,GS@POR,GS,POR,O,Quadriceps,,,
35499-85586,PF,Marcus,Marcus Derrickson,Derrickson,5.736363498,11,3500,GS@POR,GS,POR,,,,,
35499-84695,SG,Gary,Gary Trent Jr.,Trent Jr.,4.379999797,15,3500,GS@POR,POR,GS,,,,,
35499-84697,SG,Jacob,Jacob Evans,Evans,3.916666667,30,3500,GS@POR,GS,POR,,,,,
35499-15582,PG,Quinn,Quinn Cook,Cook,11.99189222,74,3500,GS@POR,GS,POR,,,,,
35499-9570,C,Pau,Pau Gasol,Gasol,13.4799998,30,3500,MIL@TOR,MIL,TOR,O,Ankle,,,
35499-23780,SF,Jake,Jake Layman,Layman,14.33662006,71,3500,GS@POR,POR,GS,,,,,
35499-68203,PF,Chris,Chris Boucher,Boucher,8.792857034,28,3500,MIL@TOR,TOR,MIL,,,,,
35499-84717,SG,Anfernee,Anfernee Simons,Simons,5.104999924,20,3500,GS@POR,POR,GS,,,,,
35499-17517,SG,Tony,Tony Snell,Snell,11.39729763,74,3500,MIL@TOR,MIL,TOR,,,,,
35499-9968,SG,Jodie,Jodie Meeks,Meeks,10.17500019,8,3500,MIL@TOR,TOR,MIL,,,,,
35499-41082,C,Damian,Damian Jones,Jones,14.875,24,3500,GS@POR,GS,POR,,,,,
35499-18811,PF,Malcolm,Malcolm Miller,Miller,4.75,10,3500,MIL@TOR,TOR,MIL,,,,,
35499-68090,SF,OG,OG Anunoby,Anunoby,13.82058806,68,3500,MIL@TOR,TOR,MIL,GTD,Abdomen,,,